Name,URL,X Handle,Founder X,Dev Rel X,Primitive,Tier,Confidence,Brief,Evidence,API Ready,CLI,Open Source,Metrics,Boilerplate Count,VC Validation,Analyst Mention,Benchmark Winner,X Hype,New in PT3
Stripe,https://stripe.com,stripe,patrickc,,Payments,1,Very High,"Complete payments infrastructure with subscriptions, invoicing, and global payouts via unified API.","13/15 boilerplates; Wing ET30 GIGA tier; universal default",TRUE,TRUE,FALSE,"13/15 boilerplates; dominant",13,TRUE,FALSE,FALSE,FALSE,FALSE
Cloudflare,https://cloudflare.com,Cloudflare,eastdakota,lizziepika,Edge Compute/Storage/CDN,1,Very High,"Global edge network with serverless compute (Workers), R2 storage, and zero-egress CDN.","Redpoint InfraRed; zero-egress; frequent X praise for Workers AI",TRUE,TRUE,FALSE,"330+ edge PoPs; public company",0,TRUE,TRUE,FALSE,TRUE,FALSE
Twilio,https://twilio.com,twilio,jeffiel,,SMS/Voice/Comms,1,Very High,"Programmable SMS, voice, video, and WhatsApp APIs for global communications.","Bessemer portfolio success; #2 Brex startup spend; global SMS leader",TRUE,TRUE,FALSE,"#2 Brex startup spend",0,TRUE,FALSE,FALSE,FALSE,FALSE
Datadog,https://datadoghq.com,datadoghq,oliveur,,Observability,1,Very High,"Unified monitoring platform for metrics, logs, traces, and APM with 600+ integrations.","Gartner MQ Leader (5th year); Brex top-5; 50% MoM growth",TRUE,TRUE,FALSE,"Gartner Leader; Brex top-5",0,TRUE,TRUE,FALSE,FALSE,FALSE
MongoDB Atlas,https://mongodb.com/atlas,MongoDB,,Didicodes,Database,1,Very High,"Managed document database with flexible schema, full-text search, and multi-cloud deployment.","Gartner MQ Leader (4th year); Vercel + Netlify native; #1 NoSQL",TRUE,TRUE,TRUE,"26K+ stars; Gartner Leader",1,FALSE,TRUE,FALSE,FALSE,FALSE
LaunchDarkly,https://launchdarkly.com,launchdarkly,edaboroughs,annthurium,Feature Flags,1,Very High,"Enterprise feature management with targeting rules, experimentation, and progressive rollouts.","Bessemer portfolio; Forrester Strong Performer; Gartner Hype Cycle featured",TRUE,TRUE,FALSE,"Billions of evaluations daily",0,TRUE,TRUE,FALSE,FALSE,FALSE
Auth0,https://auth0.com,auth0,,deepu105,Auth & Identity,1,Very High,"Identity platform with SSO, MFA, social login, and customizable authentication flows.","Bessemer portfolio success; Netlify partner; 7.5K free MAUs",TRUE,TRUE,FALSE,"9K+ stars (SDK); enterprise",0,TRUE,FALSE,FALSE,FALSE,FALSE
Upstash,https://upstash.com,upstash,enesakar,,Serverless Redis/Kafka/Queue,1,Very High,"Serverless Redis, Kafka, and QStash with per-request pricing and global replication.","Vercel native (KV); v0.dev auto-provision; Terraform/Pulumi support",TRUE,TRUE,FALSE,"Vercel Marketplace native",0,FALSE,FALSE,FALSE,FALSE,FALSE
Prisma,https://prisma.io,prisma,schickling,nikolasburk,ORM & Data Access,1,Very High,"Type-safe ORM with auto-generated queries, migrations, and visual database browser.","10/15 boilerplates; Vercel Marketplace (Prisma Postgres); 5.1M npm/wk",TRUE,TRUE,TRUE,"45K+ stars; 5.1M npm/wk",10,FALSE,FALSE,FALSE,FALSE,FALSE
Payload CMS,https://payloadcms.com,payloadcms,JamesMikrut,,CMS,1,Very High,"Code-first headless CMS with TypeScript config, built-in auth, and self-hosting option.","7x faster than Strapi (benchmark); 30K+ stars; steepest GitHub growth",TRUE,TRUE,TRUE,"30K+ stars; 7x faster",0,FALSE,FALSE,TRUE,FALSE,FALSE
